#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
51 8.30396554416223e-15 6.00000400000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99332700000000e+06 2.99333300000000e+06 2.91204210439631e+22 5.20893963876528e+21 5.20893963876528e+21 9.35126151110808e+21 9.35128025532448e+21
102 1.66079310883245e-14 6.00001000000000e+06 6.67900000000000e+03 6.67900000000000e+03 2.99332000000000e+06 2.99333200000000e+06 2.91258631147934e+22 5.21167317032471e+21 5.21167317032471e+21 9.35123964285560e+21 9.35127713128842e+21
153 2.49118966324867e-14 6.00001400000000e+06 6.68400000000000e+03 6.68400000000000e+03 2.99331500000000e+06 2.99333100000000e+06 2.91297494156619e+22 5.21362569286717e+21 5.21362569286717e+21 9.35122402267526e+21 9.35127400725234e+21
204 3.32158621766490e-14 6.00002300000000e+06 6.69200000000000e+03 6.69200000000000e+03 2.99331000000000e+06 2.99332900000000e+06 2.91359756195453e+22 5.21674972893510e+21 5.21674972893510e+21 9.35120840249492e+21 9.35126775918021e+21
255 4.15198277208113e-14 6.00002600000000e+06 6.69500000000000e+03 6.69500000000000e+03 2.99330700000000e+06 2.99332900000000e+06 2.91383092744881e+22 5.21792124246058e+21 5.21792124246058e+21 9.35119903038672e+21 9.35126775918021e+21
306 4.98237932649736e-14 6.00004000000000e+06 6.70300000000000e+03 6.70300000000000e+03 2.99330600000000e+06 2.99332800000000e+06 2.91445510985518e+22 5.22104527852851e+21 5.22104527852851e+21 9.35119590635065e+21 9.35126463514414e+21
357 5.81277588091358e-14 6.00004200000000e+06 6.70600000000000e+03 6.70600000000000e+03 2.99330400000000e+06 2.99332600000000e+06 2.91468816294585e+22 5.22221679205398e+21 5.22221679205398e+21 9.35118965827851e+21 9.35125838707201e+21
408 6.64317243532977e-14 6.00005200000000e+06 6.71200000000000e+03 6.71200000000000e+03 2.99330200000000e+06 2.99332600000000e+06 2.91515614354882e+22 5.22455981910493e+21 5.22455981910493e+21 9.35118341020638e+21 9.35125838707201e+21
459 7.47356898974597e-14 6.00005600000000e+06 6.71500000000000e+03 6.71500000000000e+03 2.99330100000000e+06 2.99332500000000e+06 2.91538982144670e+22 5.22573133263040e+21 5.22573133263040e+21 9.35118028617031e+21 9.35125526303594e+21
510 8.30396554416217e-14 6.00006500000000e+06 6.72000000000000e+03 6.72000000000000e+03 2.99330000000000e+06 2.99332500000000e+06 2.91578001355159e+22 5.22768385517286e+21 5.22768385517286e+21 9.35117716213424e+21 9.35125526303594e+21
561 9.13436209857836e-14 6.00008000000000e+06 6.72900000000000e+03 6.72900000000000e+03 2.99329900000000e+06 2.99332300000000e+06 2.91648198445605e+22 5.23119839574928e+21 5.23119839574928e+21 9.35117403809817e+21 9.35124901496380e+21
612 9.96475865299456e-14 6.00008400000000e+06 6.73200000000000e+03 6.73200000000000e+03 2.99329800000000e+06 2.99332200000000e+06 2.91671566235393e+22 5.23236990927475e+21 5.23236990927475e+21 9.35117091406210e+21 9.35124589092774e+21
663 1.07951552074108e-13 6.00009900000000e+06 6.74100000000000e+03 6.74100000000000e+03 2.99329500000000e+06 2.99332200000000e+06 2.91741763325840e+22 5.23588444985118e+21 5.23588444985118e+21 9.35116154195390e+21 9.35124589092774e+21
714 1.16255517618270e-13 6.00010700000000e+06 6.74600000000000e+03 6.74600000000000e+03 2.99329400000000e+06 2.99332100000000e+06 2.91780751295968e+22 5.23783697239363e+21 5.23783697239363e+21 9.35115841791783e+21 9.35124276689167e+21
765 1.24559483162432e-13 6.00011700000000e+06 6.75200000000000e+03 6.75200000000000e+03 2.99329200000000e+06 2.99332100000000e+06 2.91827549356265e+22 5.24017999944458e+21 5.24017999944458e+21 9.35115216984570e+21 9.35124276689167e+21
816 1.32863448706595e-13 6.00012300000000e+06 6.75700000000000e+03 6.75700000000000e+03 2.99328900000000e+06 2.99332000000000e+06 2.91866474845672e+22 5.24213252198704e+21 5.24213252198704e+21 9.35114279773749e+21 9.35123964285560e+21
