#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00191499102265e+04 1.26800757923692e+04 1.23967616788296e+04 2.24748248509080e+04 2.24674875881198e+04 2.40478994248560e-18 2.43520398828399e-18 2.38079361483465e-18 2.40339549636651e-18 2.40261086981402e-18
51 8.30396554416223e-15 7.45005494681701e+04 1.69770749428689e+04 1.26089215325880e+04 2.24474162425508e+04 2.24671367501624e+04 2.55856713543920e-18 3.25995215888902e-18 2.42117568013022e-18 2.40046930736417e-18 2.40257415481674e-18
102 1.66079310883245e-14 7.92080350940047e+04 2.12981925608072e+04 1.30125110696673e+04 2.24303712920575e+04 2.24669601714727e+04 2.71994737430364e-18 4.08847048949416e-18 2.49792405391487e-18 2.39865537860941e-18 2.40255527197463e-18
153 2.49118966324867e-14 8.25505278092342e+04 2.40952772575681e+04 1.35419380476379e+04 2.24460635828775e+04 2.24672489211507e+04 2.83442272705566e-18 4.62402147495625e-18 2.59877533989102e-18 2.40033508203660e-18 2.40258615007543e-18
204 3.32158621766490e-14 8.74549382809033e+04 2.83422640251202e+04 1.42055214022057e+04 2.24404370845510e+04 2.24667157690264e+04 3.00265857735927e-18 5.43822743653635e-18 2.72571224978036e-18 2.39973499947306e-18 2.40252993887276e-18
255 4.15198277208113e-14 9.06462649918524e+04 3.09583108810668e+04 1.47912367291314e+04 2.24297608887119e+04 2.24669564929423e+04 3.11156306177411e-18 5.93662795613912e-18 2.83639730246831e-18 2.39859571261690e-18 2.40255728651191e-18
306 4.98237932649736e-14 9.54955669263359e+04 3.51715520790508e+04 1.54153274561277e+04 2.24414001079713e+04 2.24672872831861e+04 3.27758541837312e-18 6.74204320823924e-18 2.95496779740563e-18 2.39984439713552e-18 2.40259426565045e-18
357 5.81277588091358e-14 9.86533722977033e+04 3.76172067387280e+04 1.61280952931041e+04 2.24417485927234e+04 2.24663216731478e+04 3.38533267316256e-18 7.20707488870533e-18 3.08997931177883e-18 2.39988326699157e-18 2.40249100578149e-18
408 6.64317243532977e-14 1.03452392167563e+05 4.16389316291228e+04 1.69134809577976e+04 2.24328622844180e+04 2.24671172962247e+04 3.54953782372589e-18 7.97461337442780e-18 3.23923948519003e-18 2.39893297996204e-18 2.40257689032368e-18
459 7.47356898974597e-14 1.06387380750156e+05 4.40151463972671e+04 1.74639109421114e+04 2.24425054796710e+04 2.24658179311070e+04 3.64965331999640e-18 8.42592077449123e-18 3.34315666436446e-18 2.39996500900125e-18 2.40243793949333e-18
