#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
7 4.55903990659888e-15 6.00000600000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99333100000000e+06 2.99333300000000e+06 2.91196525310904e+22 5.20854913425678e+21 5.20854913425678e+21 9.35127400725235e+21 9.35128025532448e+21
14 9.11807981319775e-15 6.00000200000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332700000000e+06 2.99333300000000e+06 2.91196400349461e+22 5.20854913425678e+21 5.20854913425678e+21 9.35126151110808e+21 9.35128025532448e+21
21 1.36771197197966e-14 6.00001400000000e+06 6.67900000000000e+03 6.67900000000000e+03 2.99332400000000e+06 2.99333200000000e+06 2.91258756109377e+22 5.21167317032471e+21 5.21167317032471e+21 9.35125213899987e+21 9.35127713128842e+21
28 1.82361596263955e-14 6.00001100000000e+06 6.67900000000000e+03 6.67900000000000e+03 2.99332200000000e+06 2.99333100000000e+06 2.91258662388295e+22 5.21167317032471e+21 5.21167317032471e+21 9.35124589092774e+21 9.35127400725235e+21
35 2.27951995329944e-14 6.00000700000000e+06 6.67900000000000e+03 6.67900000000000e+03 2.99331800000000e+06 2.99333100000000e+06 2.91258537426852e+22 5.21167317032471e+21 5.21167317032471e+21 9.35123339478346e+21 9.35127400725235e+21
42 2.73542394395933e-14 6.00002900000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99331700000000e+06 2.99333000000000e+06 2.91352196028169e+22 5.21635922442661e+21 5.21635922442661e+21 9.35123027074740e+21 9.35127088321628e+21
49 3.19132793461921e-14 6.00002500000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99331300000000e+06 2.99333000000000e+06 2.91352071066726e+22 5.21635922442661e+21 5.21635922442661e+21 9.35121777460312e+21 9.35127088321628e+21
56 3.64723192527910e-14 6.00002500000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99331300000000e+06 2.99333000000000e+06 2.91352071066726e+22 5.21635922442661e+21 5.21635922442661e+21 9.35121777460312e+21 9.35127088321628e+21
63 4.10313591593898e-14 6.00004600000000e+06 6.70200000000000e+03 6.70200000000000e+03 2.99331200000000e+06 2.99333000000000e+06 2.91437950818234e+22 5.22065477402001e+21 5.22065477402001e+21 9.35121465056706e+21 9.35127088321628e+21
70 4.55903990659887e-14 6.00004400000000e+06 6.70200000000000e+03 6.70200000000000e+03 2.99331000000000e+06 2.99333000000000e+06 2.91437888337512e+22 5.22065477402001e+21 5.22065477402001e+21 9.35120840249492e+21 9.35127088321628e+21
77 5.01494389725875e-14 6.00004300000000e+06 6.70200000000000e+03 6.70200000000000e+03 2.99330900000000e+06 2.99333000000000e+06 2.91437857097152e+22 5.22065477402001e+21 5.22065477402001e+21 9.35120527845885e+21 9.35127088321628e+21
84 5.47084788791864e-14 6.00007000000000e+06 6.71600000000000e+03 6.71600000000000e+03 2.99330800000000e+06 2.99333000000000e+06 2.91547167119168e+22 5.22612183713889e+21 5.22612183713889e+21 9.35120215442278e+21 9.35127088321628e+21
91 5.92675187857853e-14 6.00006900000000e+06 6.71600000000000e+03 6.71600000000000e+03 2.99330700000000e+06 2.99333000000000e+06 2.91547135878808e+22 5.22612183713889e+21 5.22612183713889e+21 9.35119903038672e+21 9.35127088321628e+21
98 6.38265586923842e-14 6.00006800000000e+06 6.71600000000000e+03 6.71600000000000e+03 2.99330600000000e+06 2.99333000000000e+06 2.91547104638447e+22 5.22612183713889e+21 5.22612183713889e+21 9.35119590635065e+21 9.35127088321628e+21
105 6.83855985989831e-14 6.00008300000000e+06 6.72400000000000e+03 6.72400000000000e+03 2.99330600000000e+06 2.99332900000000e+06 2.91609554119445e+22 5.22924587320682e+21 5.22924587320682e+21 9.35119590635065e+21 9.35126775918021e+21
112 7.29446385055820e-14 6.00008200000000e+06 6.72400000000000e+03 6.72400000000000e+03 2.99330500000000e+06 2.99332900000000e+06 2.91609522879084e+22 5.22924587320682e+21 5.22924587320682e+21 9.35119278231458e+21 9.35126775918021e+21
119 7.75036784121809e-14 6.00007900000000e+06 6.72400000000000e+03 6.72400000000000e+03 2.99330200000000e+06 2.99332900000000e+06 2.91609429158002e+22 5.22924587320682e+21 5.22924587320682e+21 9.35118341020638e+21 9.35126775918021e+21
126 8.20627183187797e-14 6.00009400000000e+06 6.73200000000000e+03 6.73200000000000e+03 2.99330100000000e+06 2.99332900000000e+06 2.91671878639000e+22 5.23236990927475e+21 5.23236990927475e+21 9.35118028617031e+21 9.35126775918021e+21
133 8.66217582253786e-14 6.00009100000000e+06 6.73200000000000e+03 6.73200000000000e+03 2.99330000000000e+06 2.99332700000000e+06 2.91671784917918e+22 5.23236990927475e+21 5.23236990927475e+21 9.35117716213424e+21 9.35126151110808e+21
140 9.11807981319775e-14 6.00009000000000e+06 6.73200000000000e+03 6.73200000000000e+03 2.99330000000000e+06 2.99332600000000e+06 2.91671753677558e+22 5.23236990927475e+21 5.23236990927475e+21 9.35117716213424e+21 9.35125838707201e+21
