#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00041806836287e+04 1.26800757923692e+04 1.23967616788296e+04 2.24683464188690e+04 2.24589967935610e+04 2.40427582819522e-18 2.43520398828399e-18 2.38079361483465e-18 2.40270271079469e-18 2.40170288777017e-18
7 1.13975997664972e-14 8.57060280458294e+04 2.79365283967601e+04 1.28988058623333e+04 2.24120403945624e+04 2.24586533921737e+04 2.94244965675466e-18 5.35957294502074e-18 2.47461280589373e-18 2.39668870664837e-18 2.40166616537731e-18
14 2.27951995329944e-14 8.56864506790851e+04 2.73209554245108e+04 1.34663394901987e+04 2.24415924497274e+04 2.24575633146482e+04 2.94177973743948e-18 5.24147637264435e-18 2.58349311607750e-18 2.39985374145900e-18 2.40155039780689e-18
21 3.41927992994916e-14 1.01410113321320e+05 4.22772620286757e+04 1.42506755727218e+04 2.24253633138691e+04 2.24568124060530e+04 3.47936894043650e-18 8.09625975676568e-18 2.72905967912239e-18 2.39812624553975e-18 2.40147250451758e-18
28 4.55903990659888e-14 1.01339995772123e+05 4.22007446671945e+04 1.42530716216724e+04 2.24295260893445e+04 2.24566533939119e+04 3.47696507905144e-18 8.08160638507776e-18 2.72951853179551e-18 2.39857461018212e-18 2.40145630244650e-18
35 5.69879988324860e-14 1.01294125579359e+05 4.13673477000280e+04 1.50375816843912e+04 2.24334189645079e+04 2.24557772304316e+04 3.47539276738862e-18 7.92200763144739e-18 2.87975525349380e-18 2.39899251040493e-18 2.40136421227291e-18
42 6.83855985989831e-14 1.16756804191268e+05 5.60490747654510e+04 1.58348610267986e+04 2.24186392995455e+04 2.24542290994727e+04 4.00377279010178e-18 1.07175854528412e-17 3.02790861220765e-18 2.39741600225132e-18 2.40119946123498e-18
49 7.97831983654803e-14 1.16805582320749e+05 5.60712490276518e+04 1.58435162442798e+04 2.24357738367585e+04 2.24550432120592e+04 4.00544718456937e-18 1.07218255683291e-17 3.02956364457626e-18 2.39924994730340e-18 2.40128812484052e-18
56 9.11807981319774e-14 1.16752913191060e+05 5.51226417501973e+04 1.67576922138593e+04 2.24178219972801e+04 2.24547572297236e+04 4.00364236395748e-18 1.05404348923928e-17 3.20437043869200e-18 2.39733100385992e-18 2.40125914699010e-18
63 1.02578397898475e-13 1.32966179061194e+05 7.02484685970819e+04 1.78274606700741e+04 2.24354893091109e+04 2.24547604849268e+04 4.55730337838207e-18 1.34137326559689e-17 3.40409970692382e-18 2.39922032185040e-18 2.40126190171374e-18
