#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00062900884319e+04 1.26800757923692e+04 1.23967616788296e+04 2.24671037579471e+04 2.24623488592861e+04 2.40434827516811e-18 2.43520398828399e-18 2.38079361483465e-18 2.40256982407886e-18 2.40206134839092e-18
1 1.62822853807103e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410056e-18
2 3.25645707614205e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
3 4.88468561421308e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
4 6.51291415228411e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
5 8.14114269035513e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
6 9.76937122842616e-16 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410056e-18
7 1.13975997664972e-15 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
8 1.30258283045682e-15 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
9 1.46540568426392e-15 7.15793565788359e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669952569918e+04 2.24624537405303e+04 2.45837484475421e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255822128734e-18 2.40207256410057e-18
10 1.62822853807103e-15 7.15793408826791e+04 1.42200360317965e+04 1.24298715495173e+04 2.24669795608350e+04 2.24624537405303e+04 2.45837456944309e-18 2.73095279753867e-18 2.38715235357333e-18 2.40255734541999e-18 2.40207256410057e-18
11 1.79105139187813e-15 7.15793658182078e+04 1.41666483685457e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806192e-18
12 1.95387424568523e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806192e-18
13 2.11669709949233e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806192e-18
14 2.27951995329944e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806192e-18
15 2.44234280710654e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806193e-18
16 2.60516566091364e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806193e-18
17 2.76798851472075e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806193e-18
18 2.93081136852785e-15 7.15793658182078e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669200172592e+04 2.24625382196348e+04 2.45837542584759e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255097799285e-18 2.40208159806193e-18
19 3.09363422233495e-15 7.15793541426657e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669083417170e+04 2.24625382196348e+04 2.45837528862352e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255053207647e-18 2.40208159806193e-18
20 3.25645707614205e-15 7.15793541426657e+04 1.41666483685458e+04 1.24832592127682e+04 2.24669083417170e+04 2.24625382196348e+04 2.45837528862352e-18 2.72069971604276e-18 2.39740543506925e-18 2.40255053207648e-18 2.40208159806193e-18
