#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00072680780707e+04 1.26800757923692e+04 1.23967616788296e+04 2.24683464188690e+04 2.24620841880030e+04 2.40438186397418e-18 2.43520398828399e-18 2.38079361483465e-18 2.40270271079469e-18 2.40203304517725e-18
1 1.62822853807103e-16 7.16213748975391e+04 1.42276204343427e+04 1.24633604346359e+04 2.24684131349049e+04 2.24619808936557e+04 2.45981795325164e-18 2.73240937931559e-18 2.39358388189693e-18 2.40270984522271e-18 2.40202199916596e-18
2 3.25645707614205e-16 7.16125216375445e+04 1.42191572284958e+04 1.24631057820979e+04 2.24682791229140e+04 2.24619795040368e+04 2.45951389028285e-18 2.73078402368134e-18 2.39353497596873e-18 2.40269551435173e-18 2.40202185056397e-18
3 4.88468561421308e-16 7.15917454433742e+04 1.41989238112854e+04 1.24627557754297e+04 2.24680883106447e+04 2.24619775460143e+04 2.45880033716420e-18 2.72689820319458e-18 2.39346775731419e-18 2.40267510941635e-18 2.40202164117847e-18
4 6.51291415228411e-16 7.15679094856765e+04 1.41756160875853e+04 1.24624556284193e+04 2.24678625335159e+04 2.24619752361560e+04 2.45798169724334e-18 2.72242196325393e-18 2.39341011418896e-18 2.40265096543578e-18 2.40202139416862e-18
5 8.14114269035513e-16 7.15490307562825e+04 1.41571604186447e+04 1.24622926924139e+04 2.24676050561077e+04 2.24619725891163e+04 2.45733331207112e-18 2.71887755868204e-18 2.39337882238781e-18 2.40262343151516e-18 2.40202111110153e-18
6 9.76937122842616e-16 7.15392262965436e+04 1.41476799498683e+04 1.24622704402048e+04 2.24673063966286e+04 2.24619695098420e+04 2.45699684400998e-18 2.71705683806860e-18 2.39337454885907e-18 2.40259229634584e-18 2.40202078181246e-18
7 1.13975997664972e-15 7.15389824705542e+04 1.41477114954950e+04 1.24623451359559e+04 2.24669598858639e+04 2.24619659532394e+04 2.45698873348806e-18 2.71706289639484e-18 2.39338889415116e-18 2.40255604406841e-18 2.40202040147924e-18
8 1.30258283045682e-15 7.15469547776352e+04 1.41559372039578e+04 1.24624748035264e+04 2.24665807981495e+04 2.24619619720015e+04 2.45726254041124e-18 2.71864264074204e-18 2.39341379676137e-18 2.40251550545152e-18 2.40201997573669e-18
9 1.46540568426392e-15 7.15606636534503e+04 1.41699050096847e+04 1.24626330227412e+04 2.24661679849909e+04 2.24619576360336e+04 2.45773336837473e-18 2.72132515280038e-18 2.39344418270458e-18 2.40247136032666e-18 2.40201951206029e-18
10 1.62822853807103e-15 7.15759682977647e+04 1.41855043599068e+04 1.24627900830088e+04 2.24657209022880e+04 2.24619529525610e+04 2.45825926637138e-18 2.72432100239132e-18 2.39347434607240e-18 2.40242435310153e-18 2.40201901122272e-18
11 1.79105139187813e-15 7.15877027641982e+04 1.41445340689668e+04 1.25159511562470e+04 2.24651054666520e+04 2.24621120723324e+04 2.45866228377418e-18 2.71645267277468e-18 2.40368391103800e-18 2.40235854005390e-18 2.40203602705018e-18
12 1.95387424568523e-15 7.15828993105368e+04 1.41401901925965e+04 1.25160180492301e+04 2.24645844808132e+04 2.24621065878970e+04 2.45849731032353e-18 2.71561843288253e-18 2.40369675781132e-18 2.40230282721600e-18 2.40203544055985e-18
13 2.11669709949233e-15 7.15719786160600e+04 1.41296917951314e+04 1.25161576591751e+04 2.24640284248511e+04 2.24621007369024e+04 2.45812224172116e-18 2.71360221943111e-18 2.40372356985097e-18 2.40224336407254e-18 2.40203481487070e-18
14 2.27951995329944e-15 7.15616542276022e+04 1.41197673223201e+04 1.25163518263229e+04 2.24634405470513e+04 2.24620945319079e+04 2.45776765310434e-18 2.71169622800270e-18 2.40376085958176e-18 2.40218049798651e-18 2.40203415132579e-18
15 2.44234280710654e-15 7.15560014438648e+04 1.41145382110552e+04 1.25165552454844e+04 2.24628200521049e+04 2.24620879352203e+04 2.45757350961828e-18 2.71069197906793e-18 2.40379992615845e-18 2.40211414390971e-18 2.40203344589429e-18
16 2.60516566091364e-15 7.15550517302914e+04 1.41140774686627e+04 1.25167290943258e+04 2.24621642872026e+04 2.24620808801003e+04 2.45754089193601e-18 2.71060349365741e-18 2.40383331376581e-18 2.40204401815777e-18 2.40203269143931e-18
17 2.76798851472075e-15 7.15566771534375e+04 1.41162657084472e+04 1.25168650779188e+04 2.24614730394784e+04 2.24620733275931e+04 2.45759671669963e-18 2.71102374431978e-18 2.40385942936587e-18 2.40197009796736e-18 2.40203188379511e-18
18 2.93081136852785e-15 7.15592582422423e+04 1.41194670389443e+04 1.25169865052862e+04 2.24607394072998e+04 2.24620652907121e+04 2.45768562726400e-18 2.71163855868854e-18 2.40388274944803e-18 2.40189244771115e-18 2.40203102435333e-18
19 3.09363422233495e-15 7.15625338642292e+04 1.41233643461500e+04 1.25171282330712e+04 2.24599844763598e+04 2.24620568086482e+04 2.45779812771852e-18 2.71238703513351e-18 2.40390996821810e-18 2.40181171738031e-18 2.40203011730491e-18
20 3.25645707614205e-15 7.15661164549464e+04 1.41275692341640e+04 1.25173012084573e+04 2.24591980988047e+04 2.24620479135203e+04 2.45792117094074e-18 2.71319458236191e-18 2.40394318807869e-18 2.40172762423109e-18 2.40202916608458e-18
