#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00048371203768e+04 1.26800757923692e+04 1.23967616788296e+04 2.24684321385529e+04 2.24595675106251e+04 2.40429837334882e-18 2.43520398828399e-18 2.38079361483465e-18 2.40271187742018e-18 2.40176391867166e-18
1 1.62822853807103e-16 7.15965322674007e+04 1.42180525760020e+04 1.24504862315364e+04 2.24682691047164e+04 2.24597243551460e+04 2.45896473942116e-18 2.73057187556782e-18 2.39111139582923e-18 2.40269444303343e-18 2.40178069119014e-18
2 3.25645707614205e-16 7.15882657266411e+04 1.42101054673669e+04 1.24503020205352e+04 2.24681351064751e+04 2.24597231322639e+04 2.45868082717567e-18 2.72904563621717e-18 2.39107601817281e-18 2.40268011363279e-18 2.40178056041852e-18
3 4.88468561421308e-16 7.15698907607281e+04 1.41920901203412e+04 1.24501352294308e+04 2.24679439891768e+04 2.24597214217793e+04 2.45804974363242e-18 2.72558579531041e-18 2.39104398600130e-18 2.40265967607846e-18 2.40178037750403e-18
4 6.51291415228411e-16 7.15498811035837e+04 1.41724145616687e+04 1.24500295744339e+04 2.24677175666670e+04 2.24597194008141e+04 2.45736251703348e-18 2.72180711135492e-18 2.39102369499720e-18 2.40263546308263e-18 2.40178016138762e-18
5 8.14114269035513e-16 7.15352321546190e+04 1.41580584272115e+04 1.24499972935443e+04 2.24674593496648e+04 2.24597170841984e+04 2.45685940259716e-18 2.71905002090381e-18 2.39101749546397e-18 2.40260785007188e-18 2.40177991365515e-18
6 9.76937122842616e-16 7.15287970062484e+04 1.41518724869101e+04 1.24500480634364e+04 2.24671620577865e+04 2.24597143981153e+04 2.45663838905873e-18 2.71786201329724e-18 2.39102724580347e-18 2.40257605850215e-18 2.40177962641288e-18
7 1.13975997664972e-15 7.15297885664021e+04 1.41530592930615e+04 1.24501962915132e+04 2.24668216783225e+04 2.24597113035049e+04 2.45667244394069e-18 2.71808993899110e-18 2.39105571295222e-18 2.40253965926540e-18 2.40177929548381e-18
8 1.30258283045682e-15 7.15357032089192e+04 1.41591217804027e+04 1.24504316818602e+04 2.24664419165524e+04 2.24597078301038e+04 2.45687558083762e-18 2.71925423750113e-18 2.39110091958358e-18 2.40249904859394e-18 2.40177892404793e-18
9 1.46540568426392e-15 7.15440360722230e+04 1.41676114975302e+04 1.24506929761680e+04 2.24660275850164e+04 2.24597040135084e+04 2.45716177091406e-18 2.72088468461728e-18 2.39115110106127e-18 2.40245474112751e-18 2.40177851591178e-18
10 1.62822853807103e-15 7.15526165465116e+04 1.41764551197075e+04 1.24508832000036e+04 2.24655783875995e+04 2.24596998392011e+04 2.45745646512696e-18 2.72258309907076e-18 2.39118763348036e-18 2.40240670520038e-18 2.40177806952293e-18
11 1.79105139187813e-15 7.15595581374236e+04 1.41453828071780e+04 1.24893962576088e+04 2.24649757855152e+04 2.24598032871216e+04 2.45769487230602e-18 2.71661567264240e-18 2.39858405232020e-18 2.40234226460318e-18 2.40178913195691e-18
12 1.95387424568523e-15 7.15528349704164e+04 1.41393519229316e+04 1.24892295788373e+04 2.24644550677278e+04 2.24597984009196e+04 2.45746396684056e-18 2.71545744349534e-18 2.39855204172217e-18 2.40228658048580e-18 2.40178860944001e-18
13 2.11669709949233e-15 7.15396860359578e+04 1.41270697688636e+04 1.24889259037398e+04 2.24638971709771e+04 2.24597931923774e+04 2.45701263364524e-18 2.71309866023088e-18 2.39849372102909e-18 2.40222772307915e-18 2.40178805245293e-18
14 2.27951995329944e-15 7.15279241861068e+04 1.41161780786426e+04 1.24886493574610e+04 2.24633090840271e+04 2.24597876659761e+04 2.45660867585229e-18 2.71100691504737e-18 2.39844061041586e-18 2.40216483466918e-18 2.40178746147490e-18
15 2.44234280710654e-15 7.15216876715324e+04 1.41107853947642e+04 1.24884611436649e+04 2.24626593644898e+04 2.24597817686135e+04 2.45639501143228e-18 2.70997125205108e-18 2.39840446402413e-18 2.40209696040417e-18 2.40178683082728e-18
16 2.60516566091364e-15 7.15205754148414e+04 1.41104971738879e+04 1.24883012740677e+04 2.24620015583700e+04 2.24597754085159e+04 2.45635681124607e-18 2.70991589933561e-18 2.39837376112556e-18 2.40202661636986e-18 2.40178615069606e-18
17 2.76798851472075e-15 7.15221041806339e+04 1.41129452752074e+04 1.24880819446089e+04 2.24613084535959e+04 2.24597685072217e+04 2.45640931633632e-18 2.71038605631217e-18 2.39833163898202e-18 2.40195249759149e-18 2.40178541269078e-18
18 2.93081136852785e-15 7.15247910446610e+04 1.41166495069694e+04 1.24877970330438e+04 2.24605834753821e+04 2.24597610292657e+04 2.45650185959804e-18 2.71109745268771e-18 2.39827692181857e-18 2.40187577276166e-18 2.40178461301889e-18
19 3.09363422233495e-15 7.15286798735027e+04 1.41215536375267e+04 1.24875434098880e+04 2.24598298461166e+04 2.24597529799714e+04 2.45663542049547e-18 2.71203928919466e-18 2.39822821358286e-18 2.40179518162846e-18 2.40178375224966e-18
20 3.25645707614205e-15 7.15334293095705e+04 1.41272018019954e+04 1.24874369153100e+04 2.24590461883857e+04 2.24597444038793e+04 2.45679853874248e-18 2.71312401714629e-18 2.39820776133752e-18 2.40171137933009e-18 2.40178283514614e-18
