#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
1 1.62822853807103e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
2 3.25645707614205e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
3 4.88468561421308e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
4 6.51291415228411e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
5 8.14114269035513e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532449e+21 9.35128025532448e+21
6 9.76937122842616e-16 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
7 1.13975997664972e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
8 1.30258283045682e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532449e+21 9.35128025532448e+21
9 1.46540568426392e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
10 1.62822853807103e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
11 1.79105139187813e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
12 1.95387424568523e-15 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
13 2.11669709949233e-15 5.99999900000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333200000000e+06 2.99333300000000e+06 2.91165316190585e+22 5.20698711622282e+21 5.20698711622282e+21 9.35127713128842e+21 9.35128025532448e+21
14 2.27951995329944e-15 5.99999900000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333200000000e+06 2.99333300000000e+06 2.91165316190585e+22 5.20698711622282e+21 5.20698711622282e+21 9.35127713128842e+21 9.35128025532448e+21
15 2.44234280710654e-15 5.99999700000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333000000000e+06 2.99333300000000e+06 2.91165253709864e+22 5.20698711622282e+21 5.20698711622282e+21 9.35127088321628e+21 9.35128025532448e+21
16 2.60516566091364e-15 5.99999700000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333000000000e+06 2.99333300000000e+06 2.91165253709864e+22 5.20698711622282e+21 5.20698711622282e+21 9.35127088321628e+21 9.35128025532448e+21
17 2.76798851472075e-15 5.99999700000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333000000000e+06 2.99333300000000e+06 2.91165253709864e+22 5.20698711622282e+21 5.20698711622282e+21 9.35127088321628e+21 9.35128025532448e+21
18 2.93081136852785e-15 5.99999600000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91165222469503e+22 5.20698711622282e+21 5.20698711622282e+21 9.35126775918021e+21 9.35128025532448e+21
19 3.09363422233495e-15 5.99999600000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91165222469503e+22 5.20698711622282e+21 5.20698711622282e+21 9.35126775918021e+21 9.35128025532448e+21
20 3.25645707614205e-15 5.99999600000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91165222469503e+22 5.20698711622282e+21 5.20698711622282e+21 9.35126775918021e+21 9.35128025532448e+21
