#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 7.00062278065216e+04 1.26800757923692e+04 1.23967616788296e+04 2.24681375524604e+04 2.24612527828624e+04 2.40434613611170e-18 2.43520398828399e-18 2.38079361483465e-18 2.40268037519968e-18 2.40194413701518e-18
51 8.30396554416223e-15 7.48256068607582e+04 1.73121163415752e+04 1.26119990126514e+04 2.24416679628433e+04 2.24598235436883e+04 2.56959243901919e-18 3.32378862046495e-18 2.42140348253641e-18 2.39985460102741e-18 2.40179129813803e-18
102 1.66079310883245e-14 7.95906637270482e+04 2.16923469760439e+04 1.30140831758446e+04 2.24245609331405e+04 2.24596726420192e+04 2.73279164323790e-18 4.16288541473098e-18 2.49747697188547e-18 2.39802922462942e-18 2.40177596350679e-18
153 2.49118966324867e-14 8.27839841183931e+04 2.42316823528068e+04 1.36514089773942e+04 2.24413596494746e+04 2.24595331387175e+04 2.84190420942137e-18 4.64776026901172e-18 2.61840987090248e-18 2.39982964804918e-18 2.40176104540526e-18
204 3.32158621766490e-14 8.77385287016238e+04 2.85736537002751e+04 1.42691345768905e+04 2.24370114516365e+04 2.24587289728217e+04 3.01158807430345e-18 5.47852079293014e-18 2.73586819860773e-18 2.39936947078770e-18 2.40167585244577e-18
255 4.15198277208113e-14 9.09437721001210e+04 3.10884792506637e+04 1.49699014513427e+04 2.24262772908267e+04 2.24591141072879e+04 3.12144035129449e-18 5.95980413026118e-18 2.86979880167057e-18 2.39822398451945e-18 2.40171703768597e-18
306 4.98237932649736e-14 9.58194849528462e+04 3.52812473772648e+04 1.56377981934592e+04 2.24417293449919e+04 2.24587100371302e+04 3.28870147683181e-18 6.76307072612180e-18 2.99761326611530e-18 2.39987960517136e-18 2.40167382751403e-18
357 5.81277588091358e-14 9.88752043795209e+04 3.76658104441584e+04 1.63077942234579e+04 2.24430929239428e+04 2.24585067879617e+04 3.39339857118523e-18 7.21908740664986e-18 3.12557702915592e-18 2.40002782933556e-18 2.40165209259659e-18
408 6.64317243532977e-14 1.03933645189977e+05 4.21281821110070e+04 1.69140542493299e+04 2.24333540583920e+04 2.24580547712482e+04 3.56614404936457e-18 8.06891721170447e-18 3.23959156586684e-18 2.39898637090434e-18 2.40160375514940e-18
459 7.47356898974597e-14 1.06786383780923e+05 4.41568918037736e+04 1.77338367091697e+04 2.24380583756989e+04 2.24575968922804e+04 3.66353716728041e-18 8.45431943216966e-18 3.39533681318675e-18 2.39949104618122e-18 2.40155639541319e-18
