#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430946e+22 5.20698711622282e+21 5.20698711622282e+21 9.35128025532448e+21 9.35128025532448e+21
51 8.30396554416223e-15 6.00000200000000e+06 6.67100000000000e+03 6.67100000000000e+03 2.99332700000000e+06 2.99333300000000e+06 2.91196400349461e+22 5.20854913425678e+21 5.20854913425678e+21 9.35126151110808e+21 9.35128025532448e+21
102 1.66079310883245e-14 6.00000800000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99332200000000e+06 2.99333200000000e+06 2.91243073448316e+22 5.21089216130773e+21 5.21089216130773e+21 9.35124589092774e+21 9.35127713128842e+21
153 2.49118966324867e-14 6.00001700000000e+06 6.68400000000000e+03 6.68400000000000e+03 2.99331700000000e+06 2.99333200000000e+06 2.91297587877702e+22 5.21362569286717e+21 5.21362569286717e+21 9.35123027074740e+21 9.35127713128842e+21
204 3.32158621766490e-14 6.00002000000000e+06 6.68900000000000e+03 6.68900000000000e+03 2.99331100000000e+06 2.99333100000000e+06 2.91336419646026e+22 5.21557821540963e+21 5.21557821540963e+21 9.35121152653099e+21 9.35127400725235e+21
255 4.15198277208113e-14 6.00002100000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99330800000000e+06 2.99333100000000e+06 2.91351946105284e+22 5.21635922442661e+21 5.21635922442661e+21 9.35120215442278e+21 9.35127400725235e+21
306 4.98237932649736e-14 6.00001900000000e+06 6.69200000000000e+03 6.69200000000000e+03 2.99330400000000e+06 2.99333100000000e+06 2.91359631234011e+22 5.21674972893510e+21 5.21674972893510e+21 9.35118965827851e+21 9.35127400725235e+21
357 5.81277588091358e-14 6.00002000000000e+06 6.69400000000000e+03 6.69400000000000e+03 2.99330100000000e+06 2.99333100000000e+06 2.91375157693268e+22 5.21753073795208e+21 5.21753073795208e+21 9.35118028617031e+21 9.35127400725235e+21
408 6.64317243532977e-14 6.00003800000000e+06 6.70300000000000e+03 6.70300000000000e+03 2.99330100000000e+06 2.99333100000000e+06 2.91445448504797e+22 5.22104527852851e+21 5.22104527852851e+21 9.35118028617031e+21 9.35127400725235e+21
459 7.47356898974597e-14 6.00004400000000e+06 6.70800000000000e+03 6.70800000000000e+03 2.99329900000000e+06 2.99332900000000e+06 2.91484373994203e+22 5.22299780107096e+21 5.22299780107096e+21 9.35117403809817e+21 9.35126775918021e+21
510 8.30396554416217e-14 6.00005400000000e+06 6.71500000000000e+03 6.71500000000000e+03 2.99329600000000e+06 2.99332800000000e+06 2.91538919663949e+22 5.22573133263040e+21 5.22573133263040e+21 9.35116466598997e+21 9.35126463514414e+21
561 9.13436209857836e-14 6.00006900000000e+06 6.72300000000000e+03 6.72300000000000e+03 2.99329500000000e+06 2.99332800000000e+06 2.91601369144947e+22 5.22885536869833e+21 5.22885536869833e+21 9.35116154195390e+21 9.35126463514414e+21
612 9.96475865299456e-14 6.00007800000000e+06 6.72900000000000e+03 6.72900000000000e+03 2.99329300000000e+06 2.99332700000000e+06 2.91648135964884e+22 5.23119839574928e+21 5.23119839574928e+21 9.35115529388177e+21 9.35126151110807e+21
663 1.07951552074108e-13 6.00008600000000e+06 6.73400000000000e+03 6.73400000000000e+03 2.99329300000000e+06 2.99332500000000e+06 2.91687123935012e+22 5.23315091829174e+21 5.23315091829174e+21 9.35115529388176e+21 9.35125526303594e+21
714 1.16255517618270e-13 6.00008800000000e+06 6.73700000000000e+03 6.73700000000000e+03 2.99328900000000e+06 2.99332500000000e+06 2.91710429244078e+22 5.23432243181721e+21 5.23432243181721e+21 9.35114279773749e+21 9.35125526303594e+21
765 1.24559483162432e-13 6.00010000000000e+06 6.74300000000000e+03 6.74300000000000e+03 2.99328900000000e+06 2.99332500000000e+06 2.91757289785097e+22 5.23666545886816e+21 5.23666545886816e+21 9.35114279773749e+21 9.35125526303594e+21
816 1.32863448706595e-13 6.00011100000000e+06 6.74900000000000e+03 6.74900000000000e+03 2.99328800000000e+06 2.99332500000000e+06 2.91804119085756e+22 5.23900848591911e+21 5.23900848591911e+21 9.35113967370142e+21 9.35125526303594e+21
867 1.41167414250757e-13 6.00011300000000e+06 6.75100000000000e+03 6.75100000000000e+03 2.99328600000000e+06 2.99332500000000e+06 2.91819676785374e+22 5.23978949493609e+21 5.23978949493609e+21 9.35113342562929e+21 9.35125526303594e+21
918 1.49471379794920e-13 6.00011600000000e+06 6.75400000000000e+03 6.75400000000000e+03 2.99328400000000e+06 2.99332400000000e+06 2.91843013334801e+22 5.24096100846156e+21 5.24096100846156e+21 9.35112717755715e+21 9.35125213899987e+21
969 1.57775345339083e-13 6.00013000000000e+06 6.76200000000000e+03 6.76200000000000e+03 2.99328400000000e+06 2.99332200000000e+06 2.91905431575439e+22 5.24408504452949e+21 5.24408504452949e+21 9.35112717755715e+21 9.35124589092774e+21
1020 1.66079310883245e-13 6.00013500000000e+06 6.76600000000000e+03 6.76600000000000e+03 2.99328400000000e+06 2.99331900000000e+06 2.91936578215036e+22 5.24564706256346e+21 5.24564706256346e+21 9.35112717755715e+21 9.35123651881953e+21
1071 1.74383276427408e-13 6.00014600000000e+06 6.77200000000000e+03 6.77200000000000e+03 2.99328300000000e+06 2.99331900000000e+06 2.91983407515694e+22 5.24799008961441e+21 5.24799008961441e+21 9.35112405352109e+21 9.35123651881953e+21
1122 1.82687241971570e-13 6.00016500000000e+06 6.78300000000000e+03 6.78300000000000e+03 2.99328100000000e+06 2.99331800000000e+06 2.92069224786480e+22 5.25228563920781e+21 5.25228563920781e+21 9.35111780544895e+21 9.35123339478346e+21
