#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 6.99482471981223e+04 1.23554671971762e+04 1.26469568055672e+04 2.24617282967022e+04 2.24840948986767e+04 2.40235480682368e-18 2.37286302450854e-18 2.42884349879911e-18 2.40199498714750e-18 2.40438680958933e-18
51 8.30396554416223e-15 7.45924150329012e+04 1.68508571243719e+04 1.28241762224464e+04 2.24332700411624e+04 2.24841116449205e+04 2.56151595207215e-18 3.23498798084899e-18 2.46195523691795e-18 2.39895735018666e-18 2.40438860038624e-18
102 1.66079310883245e-14 7.94685760023334e+04 2.12668341974914e+04 1.33018319878926e+04 2.24161082762978e+04 2.24838015406516e+04 2.72881980710607e-18 4.08214482796629e-18 2.55327164107282e-18 2.39712611843009e-18 2.40435704516977e-18
153 2.49118966324867e-14 8.25997885583798e+04 2.38442967748225e+04 1.38388695128519e+04 2.24331519087265e+04 2.24834703619789e+04 2.83580963568060e-18 4.57448563659820e-18 2.65496233380818e-18 2.39895273174008e-18 2.40432162981649e-18
204 3.32158621766490e-14 8.73641007338733e+04 2.80896775758283e+04 1.43617895278513e+04 2.24292350649431e+04 2.24833985652505e+04 2.99881670514527e-18 5.38612972973460e-18 2.75383942515296e-18 2.39853787942943e-18 2.40431475529198e-18
255 4.15198277208113e-14 9.05084074756793e+04 3.06384459056957e+04 1.49682152064599e+04 2.24193527505531e+04 2.24823936129706e+04 3.10649910562289e-18 5.87353067293148e-18 2.86947554078902e-18 2.39748589003023e-18 2.40420809156043e-18
306 4.98237932649736e-14 9.53231241516474e+04 3.47291971502261e+04 1.56801423882766e+04 2.24311798482683e+04 2.24826047648763e+04 3.27096506740313e-18 6.65326379788600e-18 3.00393133899266e-18 2.39875226166517e-18 2.40423067159034e-18
357 5.81277588091358e-14 9.84984773092590e+04 3.71890431733474e+04 1.63956025638813e+04 2.24315044093752e+04 2.24823271626550e+04 3.37974528485637e-18 7.12344423891389e-18 3.14052609750674e-18 2.39878857244880e-18 2.40420098553830e-18
408 6.64317243532977e-14 1.03639345605197e+05 4.15766639620328e+04 1.71575953018058e+04 2.24236494206222e+04 2.24814369207359e+04 3.55547558927905e-18 7.95971149945451e-18 3.28476350944085e-18 2.39794937384151e-18 2.40410578540693e-18
459 7.47356898974597e-14 1.06744357149536e+05 4.38273601208585e+04 1.80031722454846e+04 2.24322740104425e+04 2.24815507727502e+04 3.66121324439058e-18 8.38558435452745e-18 3.44458619221625e-18 2.39887407799135e-18 2.40411796044216e-18
510 8.30396554416217e-14 1.11447416532250e+05 4.79512093503371e+04 1.85812725287010e+04 2.24334215147893e+04 2.24815131384223e+04 3.82201310528697e-18 9.17118324324286e-18 3.55386772434246e-18 2.39899919477388e-18 2.40411554224163e-18
561 9.13436209857836e-14 1.16132937812329e+05 5.17024877242174e+04 1.95198779263960e+04 2.24293939853889e+04 2.24811781763268e+04 3.98184793631055e-18 9.88275048172747e-18 3.73115669035771e-18 2.39857090027224e-18 2.40407972225146e-18
612 9.96475865299456e-14 1.19187840440410e+05 5.40470250839349e+04 2.02258524651230e+04 2.24333088249896e+04 2.24816540663623e+04 4.08571824224457e-18 1.03247352321628e-17 3.86379400573621e-18 2.39899115115812e-18 2.40413302220780e-18
663 1.07951552074108e-13 1.24121561970884e+05 5.83931880062512e+04 2.08137736850585e+04 2.24337094863744e+04 2.24808907932003e+04 4.25404864162313e-18 1.11491713307833e-17 3.97403082068448e-18 2.39903560034912e-18 2.40405220278331e-18
714 1.16255517618270e-13 1.27318344087665e+05 6.10040660329975e+04 2.14031155736884e+04 2.24297384188950e+04 2.24814240620843e+04 4.36303019649653e-18 1.16433327838667e-17 4.08503257965162e-18 2.39861174020027e-18 2.40411083558637e-18
765 1.24559483162432e-13 1.32069273126983e+05 6.51246435183976e+04 2.20300043067292e+04 2.24330650986779e+04 2.24815602031788e+04 4.52486986181683e-18 1.24223857843383e-17 4.20217597431475e-18 2.39896829315429e-18 2.40412539419615e-18
816 1.32863448706595e-13 1.35032818224147e+05 6.74781859260286e+04 2.26395254991098e+04 2.24333112839744e+04 2.24817955150342e+04 4.62591074096795e-18 1.28674850527886e-17 4.31715452874456e-18 2.39899461994994e-18 2.40415216423922e-18
867 1.41167414250757e-13 1.39630584757818e+05 7.13671884205644e+04 2.33518362223956e+04 2.24289274497220e+04 2.24826326651357e+04 4.78252536584282e-18 1.36019927858397e-17 4.45066584326322e-18 2.39852741994960e-18 2.40424249037310e-18
918 1.49471379794920e-13 1.42866645188635e+05 7.39024879753420e+04 2.40487671198666e+04 2.24324153793110e+04 2.24829747141156e+04 4.89258137565394e-18 1.40789127031531e-17 4.58144917951922e-18 2.39890201856276e-18 2.40428067475840e-18
969 1.57775345339083e-13 1.47430663908343e+05 7.78090598641271e+04 2.47036008892486e+04 2.24342273431615e+04 2.24837758118056e+04 5.04820524688657e-18 1.48176287930182e-17 4.70444943644051e-18 2.39909658981644e-18 2.40436634241222e-18
1020 1.66079310883245e-13 1.50644476588058e+05 8.03221286470834e+04 2.54057063649725e+04 2.24309429692839e+04 2.24856986067179e+04 5.15742311310664e-18 1.52893849348902e-17 4.83599763476835e-18 2.39874616313259e-18 2.40457196194025e-18
1071 1.74383276427408e-13 1.55936048794854e+05 8.47352966381956e+04 2.62825187857606e+04 2.24326629200318e+04 2.24855704508660e+04 5.33744449757377e-18 1.61198493078975e-17 4.99992634790011e-18 2.39893249753703e-18 2.40455906054016e-18
1122 1.82687241971570e-13 1.60554174890766e+05 8.86637267589794e+04 2.69701914282336e+04 2.24345593071197e+04 2.24856973964338e+04 5.49478120320930e-18 1.68609220033569e-17 5.12884254598509e-18 2.39913529577945e-18 2.40457263582908e-18
1173 1.90991207515733e-13 1.63669793022422e+05 9.11041319871847e+04 2.76468950974375e+04 2.24329600778592e+04 2.24858058599409e+04 5.60096230530566e-18 1.73211478765828e-17 5.25635827778317e-18 2.39896507682819e-18 2.40458584132310e-18
1224 1.99295173059896e-13 1.68317228544742e+05 9.51138880583197e+04 2.82818356045147e+04 2.24341259303835e+04 2.24873789515238e+04 5.75908041030113e-18 1.80754496167196e-17 5.37468192052356e-18 2.39909055377609e-18 2.40475486787792e-18
1275 2.07599138604058e-13 1.70996288347342e+05 9.71134523983432e+04 2.89583754153389e+04 2.24367843601993e+04 2.24876761734604e+04 5.84996637648737e-18 1.84486014647800e-17 5.50121032577136e-18 2.39937564608718e-18 2.40478825896547e-18
1326 2.15903104148221e-13 1.75676590262612e+05 1.01146406388755e+05 2.96048235516799e+04 2.24372491819686e+04 2.24881111402088e+04 6.00848039258761e-18 1.92004963364083e-17 5.61984677892856e-18 2.39942615544181e-18 2.40483557686519e-18
1377 2.24207069692383e-13 1.78744035119923e+05 1.03607123362849e+05 3.02079028166203e+04 2.24398860645300e+04 2.24891228759235e+04 6.11290962787525e-18 1.96632383268581e-17 5.73305360826922e-18 2.39971134891009e-18 2.40494859059551e-18
1428 2.32511035236545e-13 1.83830611104845e+05 1.08032599635101e+05 3.08682741428900e+04 2.24425820643518e+04 2.24871552625025e+04 6.28569208530483e-18 2.04925029385791e-17 5.85534552272782e-18 2.39999965792158e-18 2.40473898073237e-18
1479 2.40815000780707e-13 1.86790370065148e+05 1.10339966941398e+05 3.15202415621037e+04 2.24420869101550e+04 2.24880746514908e+04 6.38638302902924e-18 2.09255330339180e-17 5.97768763511755e-18 2.39994670635391e-18 2.40483729866155e-18
