#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430947e+22 5.20698711622230e+21 5.20698711622230e+21 9.35128025532506e+21 9.35128025532506e+21
51 8.30396554416223e-15 6.00000300000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99332600000000e+06 2.99333300000000e+06 2.91204179199272e+22 5.20893963876475e+21 5.20893963876475e+21 9.35125838707259e+21 9.35128025532506e+21
102 1.66079310883245e-14 6.00000000000000e+06 6.67400000000000e+03 6.67400000000000e+03 2.99332100000000e+06 2.99333100000000e+06 2.91219580697086e+22 5.20972064778174e+21 5.20972064778174e+21 9.35124276689225e+21 9.35127400725293e+21
153 2.49118966324867e-14 6.00000900000000e+06 6.68100000000000e+03 6.68100000000000e+03 2.99331600000000e+06 2.99333100000000e+06 2.91274095126472e+22 5.21245417934118e+21 5.21245417934118e+21 9.35122714671191e+21 9.35127400725293e+21
204 3.32158621766490e-14 6.00001700000000e+06 6.68800000000000e+03 6.68800000000000e+03 2.99331100000000e+06 2.99333000000000e+06 2.91328578315496e+22 5.21518771090061e+21 5.21518771090061e+21 9.35121152653157e+21 9.35127088321686e+21
255 4.15198277208113e-14 6.00001600000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99330500000000e+06 2.99332900000000e+06 2.91351789903481e+22 5.21635922442609e+21 5.21635922442609e+21 9.35119278231516e+21 9.35126775918079e+21
306 4.98237932649736e-14 6.00003200000000e+06 6.70000000000000e+03 6.70000000000000e+03 2.99330300000000e+06 2.99332900000000e+06 2.91422018234288e+22 5.21987376500251e+21 5.21987376500251e+21 9.35118653424302e+21 9.35126775918079e+21
357 5.81277588091358e-14 6.00003400000000e+06 6.70200000000000e+03 6.70200000000000e+03 2.99330100000000e+06 2.99332900000000e+06 2.91437575933907e+22 5.22065477401949e+21 5.22065477401949e+21 9.35118028617089e+21 9.35126775918079e+21
408 6.64317243532977e-14 6.00004700000000e+06 6.70900000000000e+03 6.70900000000000e+03 2.99330000000000e+06 2.99332900000000e+06 2.91492215324735e+22 5.22338830557893e+21 5.22338830557893e+21 9.35117716213482e+21 9.35126775918079e+21
459 7.47356898974597e-14 6.00006000000000e+06 6.71700000000000e+03 6.71700000000000e+03 2.99329700000000e+06 2.99332900000000e+06 2.91554602325011e+22 5.22651234164686e+21 5.22651234164686e+21 9.35116779002662e+21 9.35126775918079e+21
510 8.30396554416217e-14 6.00006500000000e+06 6.72200000000000e+03 6.72200000000000e+03 2.99329400000000e+06 2.99332700000000e+06 2.91593496574057e+22 5.22846486418932e+21 5.22846486418932e+21 9.35115841791841e+21 9.35126151110865e+21
561 9.13436209857836e-14 6.00007800000000e+06 6.73000000000000e+03 6.73000000000000e+03 2.99329100000000e+06 2.99332700000000e+06 2.91655883574334e+22 5.23158890025725e+21 5.23158890025725e+21 9.35114904581021e+21 9.35126151110865e+21
612 9.96475865299456e-14 6.00008900000000e+06 6.73800000000000e+03 6.73800000000000e+03 2.99328900000000e+06 2.99332400000000e+06 2.91718208093889e+22 5.23471293632518e+21 5.23471293632518e+21 9.35114279773807e+21 9.35125213900045e+21
663 1.07951552074108e-13 6.00010000000000e+06 6.74500000000000e+03 6.74500000000000e+03 2.99328700000000e+06 2.99332300000000e+06 2.91772785003996e+22 5.23744646788462e+21 5.23744646788462e+21 9.35113654966594e+21 9.35124901496438e+21
714 1.16255517618270e-13 6.00010700000000e+06 6.75000000000000e+03 6.75000000000000e+03 2.99328600000000e+06 2.99332100000000e+06 2.91811741733763e+22 5.23939899042707e+21 5.23939899042707e+21 9.35113342562987e+21 9.35124276689225e+21
765 1.24559483162432e-13 6.00012200000000e+06 6.75800000000000e+03 6.75800000000000e+03 2.99328500000000e+06 2.99332100000000e+06 2.91874191214760e+22 5.24252302649500e+21 5.24252302649500e+21 9.35113030159380e+21 9.35124276689225e+21
816 1.32863448706595e-13 6.00012800000000e+06 6.76200000000000e+03 6.76200000000000e+03 2.99328500000000e+06 2.99331900000000e+06 2.91905369094718e+22 5.24408504452897e+21 5.24408504452897e+21 9.35113030159380e+21 9.35123651882011e+21
867 1.41167414250757e-13 6.00013900000000e+06 6.76900000000000e+03 6.76900000000000e+03 2.99328300000000e+06 2.99331800000000e+06 2.91959946004825e+22 5.24681857608841e+21 5.24681857608841e+21 9.35112405352167e+21 9.35123339478404e+21
918 1.49471379794920e-13 6.00014700000000e+06 6.77500000000000e+03 6.77500000000000e+03 2.99328100000000e+06 2.99331600000000e+06 2.92006681584401e+22 5.24916160313935e+21 5.24916160313935e+21 9.35111780544953e+21 9.35122714671191e+21
969 1.57775345339083e-13 6.00015600000000e+06 6.78000000000000e+03 6.78000000000000e+03 2.99328000000000e+06 2.99331600000000e+06 2.92045700794890e+22 5.25111412568181e+21 5.25111412568181e+21 9.35111468141346e+21 9.35122714671191e+21
1020 1.66079310883245e-13 6.00016700000000e+06 6.78600000000000e+03 6.78600000000000e+03 2.99327900000000e+06 2.99331600000000e+06 2.92092530095548e+22 5.25345715273276e+21 5.25345715273276e+21 9.35111155737739e+21 9.35122714671191e+21
