#[0]step() [1]time(s) [2]total(J) [3]piston_electrons(J) [4]piston_ions(J) [5]amb_electrons(J) [6]amb_ions(J) [7]total_mean(J) [8]piston_electrons_mean(J) [9]piston_ions_mean(J) [10]amb_electrons_mean(J) [11]amb_ions_mean(J)
0 0.00000000000000e+00 6.99482471981223e+04 1.23554671971762e+04 1.26469568055672e+04 2.24617282967022e+04 2.24840948986767e+04 2.40235480682368e-18 2.37286302450854e-18 2.42884349879911e-18 2.40199498714750e-18 2.40438680958933e-18
7 1.13975997664972e-15 7.14068874835481e+04 1.38003879791494e+04 1.26621409477703e+04 2.24603958856241e+04 2.24839626710042e+04 2.45232014064908e-18 2.64996206575833e-18 2.43139491683658e-18 2.40185330519962e-18 2.40437266952840e-18
14 2.27951995329944e-15 7.14079715689602e+04 1.37598831824820e+04 1.27071991070835e+04 2.24568406590353e+04 2.24840486203594e+04 2.45235763440398e-18 2.64218430075547e-18 2.44004702235080e-18 2.40147392126652e-18 2.40438186071430e-18
21 3.41927992994916e-15 7.30996530436517e+04 1.54379172756511e+04 1.27260042027003e+04 2.24515854083662e+04 2.24841461569340e+04 2.51038810598565e-18 2.96417954466159e-18 2.44347476860870e-18 2.40091354312082e-18 2.40439229100534e-18
28 4.55903990659888e-15 7.30732578711953e+04 1.54199086599531e+04 1.27241328423153e+04 2.24451342341105e+04 2.24840821348165e+04 2.50948164303773e-18 2.96072177446329e-18 2.44311545536229e-18 2.40022367149893e-18 2.40438544465748e-18
35 5.69879988324859e-15 7.30643269411376e+04 1.53888034720856e+04 1.27538636565371e+04 2.24379265327746e+04 2.24837332797403e+04 2.50917547545653e-18 2.95474937806010e-18 2.44882396317386e-18 2.39945450206049e-18 2.40434813906224e-18
42 6.83855985989831e-15 7.47148797889867e+04 1.70125260887375e+04 1.27886067473455e+04 2.24302094669257e+04 2.24835374859780e+04 2.56579050189378e-18 3.26626967514760e-18 2.45531076269122e-18 2.39863086141895e-18 2.40432720141980e-18
49 7.97831983654803e-15 7.46798170246867e+04 1.69838339192310e+04 1.27901563169772e+04 2.24223697756901e+04 2.24834570127884e+04 2.56458695857891e-18 3.26076100684728e-18 2.45560826773376e-18 2.39779410641387e-18 2.40431859583989e-18
56 9.11807981319774e-15 7.46493272025362e+04 1.69164972649210e+04 1.28343915176013e+04 2.24149741228837e+04 2.24834642971302e+04 2.56354017961452e-18 3.24783290487986e-18 2.46410107436454e-18 2.39700403393612e-18 2.40431937480721e-18
63 1.02578397898475e-14 7.61640682184550e+04 1.83839656608889e+04 1.28881716241584e+04 2.24085194521104e+04 2.24834114812972e+04 2.61555833635452e-18 3.52957516325974e-18 2.47442642700514e-18 2.39631378679166e-18 2.40431453005159e-18
70 1.13975997664972e-14 7.61710851703649e+04 1.83907921813220e+04 1.28935561803055e+04 2.24033891900552e+04 2.24833476186823e+04 2.61579930624351e-18 3.53088580087823e-18 2.47546021895146e-18 2.39576516876632e-18 2.40430770075821e-18
77 1.25373597431469e-14 7.61586529317372e+04 1.82831360355975e+04 1.29925026432237e+04 2.23997455335178e+04 2.24832687193983e+04 2.61537293058893e-18 3.51021667729898e-18 2.49445715271704e-18 2.39537632504027e-18 2.40430006670322e-18
