#[0]step() [1]time(s) [2]total_macroparticles() [3]piston_electrons_macroparticles() [4]piston_ions_macroparticles() [5]amb_electrons_macroparticles() [6]amb_ions_macroparticles() [7]total_weight() [8]piston_electrons_weight() [9]piston_ions_weight() [10]amb_electrons_weight() [11]amb_ions_weight()
0 0.00000000000000e+00 6.00000000000000e+06 6.66700000000000e+03 6.66700000000000e+03 2.99333300000000e+06 2.99333300000000e+06 2.91165347430947e+22 5.20698711622230e+21 5.20698711622230e+21 9.35128025532506e+21 9.35128025532506e+21
7 4.55903990659888e-15 6.00000600000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99332900000000e+06 2.99333300000000e+06 2.91204272920354e+22 5.20893963876475e+21 5.20893963876475e+21 9.35126775918079e+21 9.35128025532506e+21
14 9.11807981319775e-15 6.00000300000000e+06 6.67200000000000e+03 6.67200000000000e+03 2.99332600000000e+06 2.99333300000000e+06 2.91204179199272e+22 5.20893963876475e+21 5.20893963876475e+21 9.35125838707259e+21 9.35128025532506e+21
21 1.36771197197966e-14 6.00000900000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99332300000000e+06 2.99333200000000e+06 2.91243104688678e+22 5.21089216130721e+21 5.21089216130721e+21 9.35124901496438e+21 9.35127713128899e+21
28 1.82361596263955e-14 6.00000600000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99332000000000e+06 2.99333200000000e+06 2.91243010967596e+22 5.21089216130721e+21 5.21089216130721e+21 9.35123964285618e+21 9.35127713128899e+21
35 2.27951995329944e-14 6.00000300000000e+06 6.67700000000000e+03 6.67700000000000e+03 2.99331800000000e+06 2.99333100000000e+06 2.91242917246514e+22 5.21089216130721e+21 5.21089216130721e+21 9.35123339478404e+21 9.35127400725293e+21
42 2.73542394395933e-14 6.00001400000000e+06 6.68300000000000e+03 6.68300000000000e+03 2.99331700000000e+06 2.99333100000000e+06 2.91289746547172e+22 5.21323518835816e+21 5.21323518835816e+21 9.35123027074797e+21 9.35127400725293e+21
49 3.19132793461921e-14 6.00001100000000e+06 6.68300000000000e+03 6.68300000000000e+03 2.99331400000000e+06 2.99333100000000e+06 2.91289652826090e+22 5.21323518835816e+21 5.21323518835816e+21 9.35122089863977e+21 9.35127400725293e+21
56 3.64723192527910e-14 6.00000700000000e+06 6.68300000000000e+03 6.68300000000000e+03 2.99331200000000e+06 2.99332900000000e+06 2.91289527864647e+22 5.21323518835816e+21 5.21323518835816e+21 9.35121465056763e+21 9.35126775918079e+21
63 4.10313591593898e-14 6.00001900000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99330900000000e+06 2.99332800000000e+06 2.91351883624563e+22 5.21635922442609e+21 5.21635922442609e+21 9.35120527845943e+21 9.35126463514472e+21
70 4.55903990659887e-14 6.00001500000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99330500000000e+06 2.99332800000000e+06 2.91351758663121e+22 5.21635922442609e+21 5.21635922442609e+21 9.35119278231516e+21 9.35126463514472e+21
77 5.01494389725875e-14 6.00001500000000e+06 6.69100000000000e+03 6.69100000000000e+03 2.99330500000000e+06 2.99332800000000e+06 2.91351758663121e+22 5.21635922442609e+21 5.21635922442609e+21 9.35119278231516e+21 9.35126463514472e+21
84 5.47084788791864e-14 6.00002900000000e+06 6.69800000000000e+03 6.69800000000000e+03 2.99330500000000e+06 2.99332800000000e+06 2.91406429294309e+22 5.21909275598553e+21 5.21909275598553e+21 9.35119278231516e+21 9.35126463514472e+21
91 5.92675187857853e-14 6.00002600000000e+06 6.69800000000000e+03 6.69800000000000e+03 2.99330200000000e+06 2.99332800000000e+06 2.91406335573227e+22 5.21909275598553e+21 5.21909275598553e+21 9.35118341020696e+21 9.35126463514472e+21
98 6.38265586923842e-14 6.00002500000000e+06 6.69800000000000e+03 6.69800000000000e+03 2.99330100000000e+06 2.99332800000000e+06 2.91406304332867e+22 5.21909275598553e+21 5.21909275598553e+21 9.35118028617089e+21 9.35126463514472e+21
105 6.83855985989831e-14 6.00003700000000e+06 6.70400000000000e+03 6.70400000000000e+03 2.99330100000000e+06 2.99332800000000e+06 2.91453164873886e+22 5.22143578303647e+21 5.22143578303647e+21 9.35118028617089e+21 9.35126463514472e+21
112 7.29446385055820e-14 6.00003500000000e+06 6.70400000000000e+03 6.70400000000000e+03 2.99330100000000e+06 2.99332600000000e+06 2.91453102393164e+22 5.22143578303647e+21 5.22143578303647e+21 9.35118028617089e+21 9.35125838707259e+21
119 7.75036784121809e-14 6.00003100000000e+06 6.70400000000000e+03 6.70400000000000e+03 2.99329700000000e+06 2.99332600000000e+06 2.91452977431721e+22 5.22143578303647e+21 5.22143578303647e+21 9.35116779002662e+21 9.35125838707259e+21
126 8.20627183187797e-14 6.00005100000000e+06 6.71400000000000e+03 6.71400000000000e+03 2.99329700000000e+06 2.99332600000000e+06 2.91531078333420e+22 5.22534082812139e+21 5.22534082812139e+21 9.35116779002662e+21 9.35125838707259e+21
